platform_family,profile_id,display_name,provenance_status,os_family,architecture,cpu_class,assumed_cpu_cores,ram_gb,usable_model_ram_gb,storage_total_gb,minimum_free_disk_gb,recommended_free_disk_gb,gpu_present,gpu_class,cuda_available,deployment_type_id,menu_label,recommended_local_model_class,largest_reasonable_local_model_class,fallback_notes,source_notes
mac_laptop,mac_air_apple_silicon_8gb,MacBook Air Apple Silicon 8 GB,assumed_client_class,macOS,arm64,Apple Silicon efficiency/performance cores,8,8,4.5,256,20,40,true,Apple integrated GPU with unified memory,false,3,Happy Nerd Tiny,sub-1B to 1.5B quantized,3B only as trial/slow path,Prefer qwen3:0.6b or similar tiny models; keep OpenWebUI/Ollama overhead reserved.,Reasonable assumption for common base Apple Silicon laptops; validate with real installs.
mac_laptop,mac_air_apple_silicon_16gb,MacBook Air Apple Silicon 16 GB,assumed_client_class,macOS,arm64,Apple Silicon efficiency/performance cores,8,16,10,512,30,60,true,Apple integrated GPU with unified memory,false,4,Happy Nerd Small,3B quantized,7B quantized with conservative context,Use 3B class first; allow 7B only when memory pressure is acceptable.,Reasonable assumption for upgraded Air-class Apple Silicon laptops; validate with real installs.
mac_laptop,mac_pro_apple_silicon_18_24gb,MacBook Pro Apple Silicon 18-24 GB,assumed_client_class,macOS,arm64,Apple Pro-class Silicon,10,18,12,512,40,80,true,Apple integrated GPU with unified memory,false,5,Happy Nerd Medium,7B quantized,8B to 9B quantized,Favor 7B/8B class; reduce context or fallback to 3B if memory pressure appears.,Covers common 18 GB and 24 GB Pro-class MacBook configurations as an assumption band.
mac_laptop,mac_pro_apple_silicon_32_36gb,MacBook Pro Apple Silicon 32-36 GB,assumed_client_class,macOS,arm64,Apple Pro/Max-class Silicon,12,32,22,1024,60,120,true,Apple integrated GPU with unified memory,false,6,Happy Nerd Large,13B to 14B quantized,20B class only if quantized and disk headroom is strong,Use 14B class carefully; keep 7B as fallback for speed and reliability.,Assumption band for higher-memory Apple Silicon laptops; validate before claiming support.
mac_laptop,mac_pro_apple_silicon_64gb,MacBook Pro Apple Silicon 64 GB,assumed_client_class,macOS,arm64,Apple Max-class Silicon,14,64,44,1024,80,160,true,Apple integrated GPU with unified memory,false,7,Happy Nerd Max,30B to 34B quantized,70B only as experimental/high-disk/high-latency path,"Keep 14B/32B class as reliable targets; treat 70B as special trial, not default.",Assumption band for high-memory Apple Silicon laptops; not a provider measurement.
windows_laptop,windows_cpu_8gb,Windows laptop CPU-only 8 GB,assumed_client_class,Windows,x86_64,Intel/AMD mobile CPU,4,8,4,256,25,50,false,Integrated graphics or unsupported GPU,false,3,Happy Nerd Tiny,sub-1B to 1.5B quantized,3B only as trial/slow path,CPU-only default; avoid large pulls on low disk or low RAM.,Reasonable conservative Windows CPU-only baseline.
windows_laptop,windows_cpu_16gb,Windows laptop CPU-only 16 GB,assumed_client_class,Windows,x86_64,Intel/AMD mobile CPU,6,16,9,512,35,70,false,Integrated graphics or unsupported GPU,false,4,Happy Nerd Small,3B quantized,7B quantized with conservative context,Use 3B class first; 7B may be slow but workable on stronger CPUs.,Reasonable conservative Windows CPU-only 16 GB class.
windows_laptop,windows_cpu_32gb,Windows laptop CPU-only 32 GB,assumed_client_class,Windows,x86_64,Intel/AMD mobile CPU,8,32,20,1024,50,100,false,Integrated graphics or unsupported GPU,false,5,Happy Nerd Medium,7B to 8B quantized,13B to 14B quantized if patient,"CPU-only performance is the limit; fallback by latency, not just memory.",Assumption band for higher-memory Windows laptops without usable NVIDIA acceleration.
windows_laptop,windows_nvidia_16gb_vram_6_8gb,Windows laptop NVIDIA GPU 16 GB RAM / 6-8 GB VRAM,assumed_client_class,Windows,x86_64,Intel/AMD mobile CPU with NVIDIA dGPU,8,16,8,512,50,100,true,NVIDIA laptop GPU 6-8 GB VRAM,true,5,Happy Nerd GPU Starter,7B to 8B quantized,13B class only when VRAM/RAM fit and fallback exists,"Detect CUDA first; if CUDA unavailable, drop to Windows CPU-only 16 GB profile.",Assumption band for common gaming/creator laptops; validate GPU driver/CUDA path.
windows_laptop,windows_nvidia_32_64gb_vram_12_16gb,Windows laptop NVIDIA GPU 32-64 GB RAM / 12-16 GB VRAM,assumed_client_class,Windows,x86_64,Intel/AMD high-performance mobile CPU with NVIDIA dGPU,12,32,20,1024,80,160,true,NVIDIA laptop GPU 12-16 GB VRAM,true,6,Happy Nerd GPU Large,13B to 14B quantized,20B to 34B quantized depending on VRAM/offload,Prefer 14B class for reliability; keep 7B/8B fallback for thermals and driver issues.,"Assumption band for high-end Windows laptops; validate thermals, drivers, and sustained inference."
